Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2010-01-04,15.517997741699219,15.586333343118786,15.45585093907638,15.52294934956002,78541293
2010-01-05,15.449661254882812,15.544984677945305,15.389000032898519,15.528643330098225,120638494
2010-01-06,15.060194969177246,15.495961098006545,15.013152325690596,15.495961098006545,159744526
2010-01-07,14.709600448608398,15.103276483934799,14.673699160040284,15.088420712938406,257533695
2010-01-08,14.905696868896484,14.936150727853283,14.58605222483117,14.657606421469819,189680313
2010-01-11,14.88316535949707,14.966109295188238,14.708115638823164,14.966109295188238,289597429
2010-01-12,14.61997127532959,14.810124200324204,14.558568684547831,14.79749726871257,194859654
2010-01-13,14.53603744506836,14.56797688117599,14.20946074003386,14.273587050445148,260838034
2010-01-14,14.604373931884766,14.712077805488484,14.43006652208913,14.457054350038788,170239717
2010-01-15,14.360491752624512,14.696230281681107,14.311962584600911,14.690782849626101,218194794
2010-01-19,14.549159049987793,14.618486297222468,14.268634312794413,14.390203248582793,173315202
2010-01-20,14.37064266204834,14.508552939710098,14.243873738098237,14.508552939710098,130515377
2010-01-21,14.434274673461914,14.529351607289485,14.168605708416248,14.44566441383967,253253712
2010-01-22,13.617956161499023,14.127753730933522,13.242849343678722,13.976720682216246,273035583
2010-01-25,13.37011432647705,13.614737794020833,13.25894442179666,13.53327848554537,177458675
2010-01-26,13.430031776428223,13.60780426260695,13.278256416446691,13.319851628754396,174873019
2010-01-27,13.42210865020752,13.559523111281376,13.253990998039479,13.401558008777622,159170382
2010-01-28,13.228736877441406,13.543428937383393,13.137373412632497,13.481282137945612,129648138
2010-01-29,13.12103271484375,13.394624434554292,13.01382372891068,13.332726022735253,166240784
2010-02-01,13.19729232788086,13.266372141400915,13.129946477785834,13.236413159337301,90369462
2010-02-02,13.150250434875488,13.245325477773397,13.063343696323235,13.245325477773397,164462143
2010-02-03,13.39041519165039,13.422108134243553,13.078693343752402,13.089587259496884,120413655
2010-02-04,13.042793273925781,13.32059334536858,13.012586855804829,13.295835307290973,135614418
2010-02-05,13.154458045959473,13.209176012023153,12.935831723801712,13.082903855571503,126713179
2010-02-08,13.208434104919434,13.419632548148803,13.160400760253275,13.184417432586354,108175956
2010-02-09,13.281970024108887,13.4079956973962,13.248050135408963,13.35872516061139,113206742
2010-02-10,13.232699394226074,13.315395896715472,13.065325935571316,13.22329105421639,107380987
2010-02-11,13.280980110168457,13.382245846700997,13.110139685643013,13.204719850968734,96761331
2010-02-12,13.19976806640625,13.299549172489103,13.13489849696474,13.196054597593648,91529795
2010-02-16,13.402299880981445,13.472369441250557,13.228984136689775,13.292615564313945,146723904
2010-02-17,13.32579517364502,13.454296178294191,13.310939401771291,13.419633026601844,81492313
2010-02-18,13.44983959197998,13.494159469888396,13.274542430015968,13.309205582082653,93826371
2010-02-19,13.388931274414062,13.469893806311852,13.36268576231736,13.38323545601076,102506786
2010-02-22,13.439440727233887,13.555809678970537,13.394873410548836,13.552096209932985,86105539
2010-02-23,13.24804973602295,13.459990492597607,13.179217363826583,13.444392406794332,115334688
2010-02-24,13.158916473388672,13.33148992804478,13.13514818494662,13.22106328094488,93412827
2010-02-25,13.034127235412598,13.085132684466792,12.874924933433586,13.051211847174566,132864148
2010-02-26,13.043289184570312,13.165848830075214,12.961087561831592,13.05863983302298,82279251
2010-03-01,13.189122200012207,13.203977972029666,13.066562554887708,13.102712232156227,89851528
2010-03-02,13.396358489990234,13.51025115138378,13.246562644848114,13.25820077121651,174925214
2010-03-03,13.50183391571045,13.571160215333654,13.351544137787851,13.428544813083866,124039193
2010-03-04,13.731354713439941,13.769483895367104,13.523622296285957,13.531050182120993,127829347
2010-03-05,13.969539642333984,14.055207291163892,13.862826475577766,13.898727764750765,157074555
2010-03-08,13.926706314086914,13.993557284803337,13.890309200455135,13.98365312127679,95813793
2010-03-09,13.870006561279297,13.980680632122159,13.778644044514463,13.861588923151716,127540267
2010-03-10,14.272597312927246,14.32335342845587,13.920021584190733,13.958399153631397,227043838
2010-03-11,14.38871955871582,14.514250365908824,14.216889365286894,14.218373994540237,169966698
2010-03-12,14.349102973937988,14.565500472955378,14.339694634338725,14.562034442163872,110548817
2010-03-15,13.944038391113281,14.099279779139794,13.766264959915922,14.03069579297795,186853758
2010-03-16,13.99405288696289,14.073778231555844,13.884121121899987,13.910614073379266,137774484
2010-03-17,14.002964973449707,14.148798973179089,13.970530662186134,14.07080664637211,133362007
2010-03-18,14.023764610290527,14.07427423587486,13.93859183218095,13.982168448044606,71354455
2010-03-19,13.865303039550781,14.063378729541576,13.797957191189228,13.865303039550781,192486794
2010-03-22,13.803403854370117,14.03490454343787,13.723678516835859,13.76898814352918,160792439
2010-03-23,13.592949867248535,13.823460839795484,13.419634094988485,13.79201627816585,220876809
2010-03-24,13.799195289611816,13.861589529951972,13.362685889533115,13.506538486951511,263592319
2010-03-25,13.936610221862793,14.162416044949818,13.832124948525315,13.841038411123934,157825359
2010-03-26,13.931904792785645,14.048274680318878,13.865798035382735,13.995784606647188,108252241
2010-03-29,13.92596435546875,13.98216790151208,13.879415638939374,13.939581040102384,124645457
2010-03-30,14.031439781188965,14.05421831568061,13.872235581863965,13.935372139134536,79412546
2010-03-31,14.04159164428711,14.10646121816419,13.934877521607886,13.99033875567998,121686407
2010-04-01,14.083186149597168,14.198317905447485,14.002717544791425,14.14632270486111,84423257
2010-04-05,14.13790512084961,14.233723425955555,14.088137811791169,14.135181404706646,76345092
2010-04-06,14.068825721740723,14.134933429065262,13.999003597624547,14.099527016631056,82712870
